FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;CI;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;CI2;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
5;3;4;4;4;5;1300;30;6;4;3;4;3;5;5;2;2;4;4;2;4;4;1;5;3;3;5;5;4;1;2;1;3;2;2;2;2;1;2;2;5;4;5;4;4;4;3;4;5;3;4;4;4;4;5;2;2;2;3;2;3;3;2;3;3;3;2;3;3;3;3;3;3;3;2;2;3;4;2;0;0;2;2;2;1;2;2;0;1;2;1;1;1;0;0;1;0;0;1;25;14;10;8;40;62;19;58;11;6;4
5;2;4;2;3;2;500;315;6;3;5;4;6;7;7;1;2;1;4;4;3;3;1;2;2;4;2;2;4;1;2;1;3;2;2;1;3;1;2;2;4;2;5;4;5;3;4;4;1;3;2;4;2;2;3;3;3;2;1;1;3;3;2;3;2;2;1;3;1;1;3;3;3;3;3;2;1;4;1;2;1;0;0;0;0;1;0;2;0;0;0;1;0;2;0;0;1;0;0;18;18;14;4;31;48;19;49;3;3;5
4;3;4;4;3;4;300;15;7;5;3;5;2;5;5;2;2;2;4;4;3;3;4;4;3;4;2;4;3;1;1;1;2;2;1;1;2;1;2;2;4;3;4;5;4;3;4;4;4;3;4;3;3;4;4;2;3;2;3;2;3;3;1;3;2;2;1;3;2;2;3;2;2;3;3;2;3;4;0;0;0;0;2;1;0;0;1;2;1;0;1;0;0;0;1;0;0;0;0;22;15;10;6;38;56;15;52;2;1;6
5;4;4;4;3;3;452;180;6;5;6;5;5;6;6;4;6;5;4;4;5;4;4;4;4;3;3;4;4;1;2;2;2;3;2;2;2;3;2;2;2;4;3;2;2;2;2;2;4;3;4;3;3;2;2;2;1;2;3;2;2;3;2;2;1;2;3;2;1;2;2;3;2;1;2;2;3;4;1;2;1;1;1;2;1;1;2;2;2;1;1;1;1;2;2;1;2;1;1;23;21;12;15;43;40;22;45;9;10;10
5;5;4;2;3;3;300;120;7;4;1;2;1;2;2;2;3;3;2;2;3;2;2;2;2;3;2;2;3;1;2;1;2;3;2;1;2;0;2;2;3;4;5;2;4;5;3;4;4;1;3;4;4;4;3;3;3;2;1;2;2;3;3;3;2;2;1;2;1;1;3;2;2;3;1;1;3;4;1;0;1;0;0;0;1;0;1;1;2;3;1;1;1;2;1;0;3;0;1;22;8;4;8;25;53;17;46;7;6;7
5;4;5;5;4;4;440;840;7;6;4;6;4;7;7;5;5;4;4;4;3;3;4;4;3;4;5;4;4;1;2;2;2;2;2;2;2;1;2;2;3;4;4;4;4;4;4;4;4;4;4;4;3;2;3;2;3;3;3;2;3;2;1;2;3;2;1;3;2;2;3;2;2;3;2;2;2;4;1;0;0;0;2;2;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;27;20;14;14;42;55;19;50;6;1;3
5;4;4;4;3;4;350;3;6;6;6;6;6;7;7;5;4;4;2;4;3;3;3;1;4;3;4;1;3;1;2;2;2;2;2;1;3;1;1;3;5;4;4;1;3;3;1;4;2;3;2;4;3;4;3;2;1;3;1;3;1;3;2;3;2;3;1;3;3;1;3;2;3;3;3;4;1;4;1;2;1;3;1;2;0;2;2;0;2;1;0;1;1;0;0;2;1;1;0;24;24;14;13;31;46;19;51;11;10;2
4;4;4;4;3;4;207;120;6;5;3;4;3;6;5;5;5;5;4;4;2;3;4;2;2;4;4;4;4;1;2;1;3;2;1;1;2;2;2;2;3;4;4;3;4;4;3;4;4;3;2;4;3;4;2;3;3;2;1;3;2;2;1;1;1;2;1;2;1;2;2;2;3;2;2;4;2;4;1;2;0;0;1;0;1;2;2;1;2;2;1;1;2;0;0;1;2;1;1;23;15;11;15;37;51;18;44;9;10;4
5;3;4;3;3;4;350;180;7;4;4;4;4;4;4;1;3;1;2;3;2;2;2;2;2;2;4;3;3;1;2;2;3;2;2;2;0;1;3;2;4;2;4;4;4;3;4;4;4;3;4;3;2;2;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;16;8;5;27;51;19;23;0;0;0
5;3;5;5;2;1;90;100;7;4;4;7;6;7;7;2;2;2;2;4;4;4;4;1;2;4;2;3;2;1;1;0;2;2;2;0;2;0;0;1;5;3;4;1;2;2;1;3;4;3;3;4;4;1;4;4;3;3;4;4;4;4;1;4;4;4;1;4;4;4;4;4;4;2;4;4;4;4;2;0;3;2;3;3;2;3;3;3;2;3;3;1;3;3;3;2;3;3;3;21;21;14;6;32;44;10;78;16;16;21
