FBI1;FBI2;FBI3;FBI4;FBI5;FBI6;FBI7;FBI8;MSFU1;MSFU2;MSFU3;MSFU4;MSFU5;MSFU6;MSFU7;MSFU8;MSFU9;MSFU10;COMF1;COMF2;COMF3;COMF4;COMF5;COMF6;COMF7;COMF8;COMF9;COMF10;COMF11;RSES1;RSES2;RSES3;RSES4;RSES5;RSES6;RSES7;RSES8;RSES9;RSES10;CSS1;CSS2;CSS3;CSS4;CSS5;CSS6;CSS7;CSS8;CSS9;CSS10;CSS11;CSS12;CSS13;CSS14;CSS15;RRS1;RRS2;RRS3;RRS4;RRS5;RRS6;RRS7;RRS8;RRS9;RRS10;RRS11;RRS12;RRS13;RRS14;RRS15;RRS16;RRS17;RRS18;RRS19;RRS20;RRS21;RRS22;DASS1;DASS2;DASS3;DASS4;DASS5;DASS6;DASS7;DASS8;DASS9;DASS10;DASS11;DASS12;DASS13;DASS14;DASS15;DASS16;DASS17;DASS18;DASS19;DASS20;DASS21;FBI;MSFUP;MSFUaprivate;MSFUapublic;COMF;CSS;RSES;RRS;DASS_stress;DASS_anxiety;DASS_depression
4;2;2;5;2;4;300;60;7;5;6;6;5;7;5;1;1;2;5;4;4;3;4;4;3;5;2;5;4;1;1;2;1;3;1;1;1;1;1;4;4;5;4;5;3;4;2;2;1;2;5;4;2;4;2;1;4;4;2;1;4;3;4;3;2;3;4;3;4;4;3;3;3;3;3;3;2;1;2;0;2;3;0;2;2;3;2;3;3;1;1;2;2;1;1;3;2;19;22;12;4;43;51;13;66;14;8;16
4;1;3;2;1;3;100;60;6;3;2;3;2;6;6;2;2;2;1;3;3;4;4;3;3;4;1;2;2;3;2;2;2;2;1;2;2;2;2;4;3;4;2;4;4;2;4;4;4;3;4;2;3;3;2;1;1;2;2;2;3;4;1;3;2;1;3;2;1;2;1;2;3;2;1;1;0;1;1;1;2;2;2;1;1;1;2;2;0;2;0;1;0;2;1;0;0;14;10;12;6;30;50;20;42;11;6;5
5;5;5;5;4;5;250;90;7;6;5;6;4;5;5;4;3;3;4;4;4;4;4;4;4;4;3;4;4;2;2;2;2;2;2;2;2;2;2;4;3;4;3;3;2;3;4;4;3;3;4;3;2;4;1;2;2;1;2;2;1;1;2;1;1;1;2;1;3;1;1;1;1;1;1;2;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;29;21;10;10;43;49;20;31;3;0;1
5;3;5;2;4;4;816;90;7;2;2;4;2;7;7;2;2;2;3;5;2;2;5;2;2;4;5;2;3;1;1;1;2;2;0;2;1;1;2;4;4;4;3;4;4;4;4;3;5;3;5;4;3;4;3;1;3;2;3;2;3;2;2;2;3;1;4;2;2;3;3;3;3;3;3;3;1;2;0;1;2;1;1;1;0;1;0;1;1;0;0;0;1;1;0;0;1;23;10;14;6;35;58;13;56;5;4;6
5;4;5;4;4;5;220;180;7;6;4;6;2;7;7;6;5;6;3;4;4;4;4;4;3;4;4;3;4;2;2;2;2;2;2;2;2;3;2;4;2;3;3;4;4;4;4;3;3;3;4;3;4;3;2;2;2;2;3;3;3;1;3;2;2;1;2;3;3;3;3;2;2;1;2;2;1;0;1;0;1;1;0;1;2;1;2;2;2;2;2;2;2;2;1;2;0;27;18;14;17;41;51;21;49;11;7;9
5;4;5;5;5;5;800;65;7;7;5;5;3;6;6;5;3;2;5;5;5;5;4;5;5;5;5;5;5;3;0;2;3;2;0;3;0;2;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;3;2;3;2;4;2;4;2;1;3;4;2;3;1;3;4;3;3;2;3;3;1;0;0;1;1;3;2;1;2;2;1;1;0;2;0;2;1;2;1;2;1;2;29;20;12;10;54;74;18;58;6;9;12
5;3;4;4;3;4;200;75;7;5;5;5;4;7;4;3;3;4;5;4;5;2;5;5;4;5;5;5;5;2;2;3;3;2;2;3;1;2;2;5;5;5;2;4;1;3;4;4;4;3;5;1;1;3;3;1;2;1;1;1;2;1;1;3;4;4;4;4;3;3;2;4;1;1;2;1;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;23;19;11;10;50;50;22;49;3;0;2
2;1;1;1;1;1;100;5;4;2;2;2;2;3;2;2;5;2;4;3;5;4;4;4;4;4;2;4;4;1;0;2;2;2;1;2;0;1;1;4;5;4;4;5;4;4;4;5;4;4;5;4;4;5;2;3;3;2;3;2;4;1;3;4;3;1;4;1;3;4;3;3;3;3;2;3;3;2;1;1;2;2;0;2;2;2;2;3;1;2;1;1;2;1;0;0;1;7;8;5;9;42;65;12;60;15;6;10
2;3;2;4;4;4;52;10;5;4;3;5;3;3;3;3;2;3;4;3;4;1;2;4;3;4;3;4;2;1;1;2;2;2;1;1;0;1;0;5;5;5;3;5;4;4;4;5;3;3;5;4;4;4;3;3;4;3;1;2;2;1;2;1;1;1;3;2;2;2;4;3;4;1;1;1;1;0;1;0;2;0;0;1;1;1;2;2;2;2;0;1;1;1;0;0;2;19;15;6;8;34;63;11;47;9;1;10
4;2;4;4;2;2;200;30;7;4;3;5;2;1;3;4;4;3;2;2;2;2;2;2;2;2;3;2;2;1;1;1;1;1;1;1;1;1;1;4;5;4;4;4;4;4;4;5;3;4;4;5;4;5;2;3;3;3;3;3;3;3;3;3;3;2;2;3;3;3;3;3;3;3;3;3;1;1;1;1;2;1;1;1;1;2;1;2;2;1;1;2;2;2;1;2;2;18;14;4;11;23;63;10;63;9;8;13
